City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,iskateley,67.6803,53.1512,-30.55,100,95,1.79,RU,1707628472
1,port-aux-francais,-49.35,70.2167,7.95,99,100,12.31,TF,1707628472
2,grytviken,-54.2811,-36.5092,2.85,89,28,7.7,GS,1707628472
3,itanhem,-17.1664,-40.33,20.7,94,76,1.09,BR,1707628473
4,college,64.8569,-147.8028,-7.82,78,40,2.57,US,1707628473
5,idri,27.5,13.2667,13.16,18,100,1.25,LY,1707628473
6,tutoia,-2.7619,-42.2744,23.64,96,100,2.11,BR,1707628473
7,sanctuary point,-35.1114,150.629,24.99,53,1,6.07,AU,1707628474
8,archangelos,36.2149,28.1149,15.17,74,100,7.09,GR,1707628474
9,hawaiian paradise park,19.5933,-154.9731,21.73,91,100,1.54,US,1707628474
10,avarua,-21.2078,-159.775,27.03,74,40,4.12,CK,1707628475
11,longyearbyen,78.2186,15.6401,-6.09,73,0,5.66,SJ,1707628475
12,selfoss,63.9331,-20.9971,-3.7,80,100,4.96,IS,1707628475
13,olonkinbyen,70.9221,-8.7187,-3.45,67,100,7.06,SJ,1707628009
14,bindlach,49.9817,11.6139,7.95,94,100,0.89,DE,1707628476
15,waitangi,-43.9535,-176.5597,14.34,93,72,1.79,NZ,1707628015
16,puerto natales,-51.7236,-72.4875,10.2,93,100,1.47,CL,1707628476
17,kuanda,56.3161,116.0806,-11.82,79,100,1.22,RU,1707628476
18,adamstown,-25.066,-130.1015,23.15,88,99,8.22,PN,1707628476
19,tomatlan,19.9333,-105.25,18.77,92,86,0.88,MX,1707628477
20,stanley,54.868,-1.6985,5.29,100,100,2.57,GB,1707628477
21,teshi old town,5.5836,-0.1072,26.87,86,21,2.94,GH,1707628477
22,uturoa,-16.7333,-151.4333,27.78,87,100,13.96,PF,1707628477
23,port elizabeth,-33.918,25.5701,18.51,73,0,1.54,ZA,1707628478
24,ust-nera,64.5667,143.2,-26.6,95,100,0.79,RU,1707627898
25,edinburgh of the seven seas,-37.0676,-12.3116,18.45,92,90,8.26,SH,1707628478
26,kapuskasing,49.4169,-82.4331,-8.0,73,100,5.66,CA,1707627944
27,invercargill,-46.4,168.35,13.9,71,83,5.81,NZ,1707628219
28,blackmans bay,-43.0167,147.3167,22.07,52,73,3.56,AU,1707628479
29,isafjordur,66.0755,-23.124,-3.3,87,100,3.32,IS,1707628479
30,carnarvon,-24.8667,113.6333,35.74,36,0,4.14,AU,1707628479
31,raduzhny,62.0961,77.475,-16.81,95,98,6.56,RU,1707628480
32,urangan,-25.3,152.9,29.0,66,17,4.92,AU,1707628480
33,port lincoln,-34.7333,135.8667,29.42,35,0,6.24,AU,1707627881
34,tofol,5.3248,163.0078,28.88,79,100,6.17,FM,1707628481
35,san patricio,28.017,-97.5169,21.02,92,100,4.58,US,1707628027
36,nemuro,43.3236,145.575,-3.04,68,98,7.31,JP,1707628481
37,ushuaia,-54.8,-68.3,8.81,93,20,4.63,AR,1707628481
38,almonte,37.2647,-6.5167,10.16,86,93,0.97,ES,1707628481
39,kapa'a,22.0752,-159.319,22.99,83,100,2.57,US,1707628482
40,murghob,38.1702,73.9667,-14.73,58,99,1.86,TJ,1707628482
41,arzberg,50.0667,12.2,7.17,95,100,0.12,DE,1707628482
42,parabel',58.6978,81.4825,-12.8,88,100,6.6,RU,1707628482
43,jamestown,42.097,-79.2353,2.77,90,100,2.57,US,1707628326
44,babayevo,59.3936,35.9371,-22.23,100,97,1.72,RU,1707628483
45,kodiak,57.79,-152.4072,0.73,75,0,1.54,US,1707628483
46,scottburgh,-30.2867,30.7532,20.19,82,72,1.81,ZA,1707628483
47,yarmouth,41.7057,-70.2286,9.51,88,0,3.13,US,1707628484
48,anadyr,64.75,177.4833,-21.72,77,40,5.0,RU,1707627954
49,tiksi,71.6872,128.8694,-29.87,100,100,2.31,RU,1707628484
50,sao vicente,-23.9631,-46.3919,26.82,26,9,1.06,BR,1707628484
51,luganville,-15.5333,167.1667,29.3,75,28,4.77,VU,1707628484
52,pacific grove,36.6177,-121.9166,11.06,86,20,2.57,US,1707627961
53,katabu,-4.9333,122.5167,27.51,84,100,2.63,ID,1707628485
54,aktau,43.65,51.2,4.32,77,100,5.14,KZ,1707628485
55,turan,16.0678,108.2208,23.99,60,75,3.09,VN,1707628485
56,marsa alam,25.0757,34.8918,18.23,55,0,5.05,EG,1707628486
