City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,howrah,22.5892,88.3103,17.0,67,40,0.0,IN,1707691921
1,afaahiti,-17.75,-149.2833,27.93,94,71,12.37,PF,1707691921
2,papatowai,-46.5619,169.4708,15.83,57,100,5.15,NZ,1707691921
3,dryden,49.7833,-92.7503,-6.84,73,100,2.57,CA,1707691922
4,edinburgh of the seven seas,-37.0676,-12.3116,17.38,74,14,8.47,SH,1707691922
5,grytviken,-54.2811,-36.5092,4.13,84,16,5.09,GS,1707691923
6,sisimiut,66.9395,-53.6735,-22.88,88,58,3.5,GL,1707691923
7,adamstown,-25.066,-130.1015,25.04,89,38,8.44,PN,1707691923
8,vila franca do campo,37.7167,-25.4333,18.27,99,60,7.26,PT,1707691924
9,port-aux-francais,-49.35,70.2167,6.56,80,100,10.95,TF,1707691924
10,northam,51.0333,-4.2167,7.03,91,63,7.61,GB,1707691924
11,manaure,11.7751,-72.4445,27.84,74,31,10.42,CO,1707691924
12,sur,22.5667,59.5289,21.9,81,100,1.42,OM,1707691925
13,veraval,20.9,70.3667,20.59,36,82,4.42,IN,1707691925
14,hawaiian paradise park,19.5933,-154.9731,25.02,80,100,6.69,US,1707691925
15,ribeira grande,38.5167,-28.7,17.1,92,13,8.49,PT,1707691925
16,sola,-13.8833,167.55,27.92,74,42,6.99,VU,1707691926
17,kenai,60.5544,-151.2583,-2.97,86,100,4.12,US,1707691926
18,enewetak,11.3474,162.3373,26.44,76,100,9.71,MH,1707691926
19,slave lake,55.2834,-114.769,0.99,69,0,3.6,CA,1707691927
20,dolores,-36.3132,-57.6792,25.71,73,47,3.32,AR,1707691927
21,albany,42.6001,-73.9662,4.17,72,84,0.45,US,1707691337
22,blackmans bay,-43.0167,147.3167,20.41,69,94,0.45,AU,1707691928
23,waitangi,-43.9535,-176.5597,14.9,76,96,3.58,NZ,1707691928
24,pergamino,-33.89,-60.5736,29.54,53,77,3.6,AR,1707691928
25,saipan,15.1355,145.701,27.39,69,40,6.69,MP,1707691929
26,labrador city,52.9463,-66.9114,-7.05,88,100,3.6,CA,1707691602
27,axim,4.8699,-2.2405,27.71,86,97,3.19,GH,1707691930
28,ilulissat,69.2167,-51.1,-16.99,66,100,5.14,GL,1707691931
29,fort bragg,35.139,-79.006,19.34,84,100,3.09,US,1707691932
30,parnamirim,-5.9156,-35.2628,28.19,78,40,5.14,BR,1707691933
31,atafu village,-8.5421,-172.5159,28.6,77,100,5.19,TK,1707691934
32,karratha,-20.7377,116.8463,28.37,66,0,3.4,AU,1707691934
33,margaret river,-33.95,115.0667,17.92,73,36,6.83,AU,1707691823
34,port mathurin,-19.6833,63.4167,27.36,85,99,8.07,MU,1707691936
35,tadine,-21.55,167.8833,27.77,76,14,8.94,NC,1707691936
36,ushuaia,-54.8,-68.3,8.81,76,75,11.32,AR,1707691937
37,wailua homesteads,22.0669,-159.378,25.24,67,0,4.63,US,1707691938
38,bilibino,68.0546,166.4372,-39.61,100,67,1.05,RU,1707691939
39,guerrero negro,27.9769,-114.0611,18.04,45,0,3.65,MX,1707691939
40,udachny,66.4167,112.4,-31.04,97,100,3.15,RU,1707691940
41,seryshevo,51.0933,128.3786,-8.32,84,100,8.08,RU,1707691942
42,zhanaozen,43.3,52.8,7.8,73,100,4.74,KZ,1707691943
43,la'ie,21.6477,-157.9253,27.98,79,5,0.45,US,1707691944
44,longyearbyen,78.2186,15.6401,-7.09,79,75,5.14,SJ,1707691945
45,puerto ayora,-0.7393,-90.3518,29.98,91,34,1.79,EC,1707691945
46,ballina,-28.8667,153.5667,25.99,68,99,2.86,AU,1707691946
47,champerico,14.3,-91.9167,35.3,59,1,3.99,GT,1707691946
48,laminusa,5.5549,120.9136,27.21,75,38,4.13,PH,1707691947
49,caleta de carquin,-11.0925,-77.6267,25.74,77,86,4.98,PE,1707691948
50,kailua-kona,19.6406,-155.9956,26.98,78,20,4.12,US,1707691656
51,greymouth,-42.4667,171.2,15.93,61,99,2.33,NZ,1707691658
52,la passe,45.5549,-0.8967,8.13,84,92,3.44,FR,1707691950
53,boke,10.9409,-14.2967,23.06,84,0,1.82,GN,1707691950
54,mitu,1.1983,-70.1733,24.79,82,97,1.26,CO,1707691951
55,crikvenica,45.1772,14.6928,12.05,93,100,2.06,HR,1707691951
56,sanming,26.2486,117.6186,7.11,79,0,0.96,CN,1707691952
57,kalmunai,7.4167,81.8167,25.07,83,44,4.54,LK,1707691952
58,anadyr,64.75,177.4833,-24.72,77,0,6.0,RU,1707691953
59,korla,41.7597,86.1469,3.03,35,4,3.81,CN,1707691953
60,colonia,50.9333,6.95,9.42,79,75,3.6,DE,1707691954
61,webster city,42.4694,-93.816,5.41,28,0,4.12,US,1707691954
62,aroma,15.8167,36.1333,21.47,54,12,4.79,SD,1707691954
